id;token;estado_flujo;evento_seleccionado;asientos_seleccionados;ultima_actividad;expira_en
1;so motor catch;nervously direct strong;11830;playfully;2025-11-11;2025-11-10
2;juvenile;knowingly massage by;24964;gah lest failing;2025-11-11;2025-11-11
3;dimly lest boohoo;before readily burgeon;18743;creaking on necklace;2025-11-11;2025-11-10
4;er;suspiciously place tenement;22450;pine papa;2025-11-11;2025-11-11
5;blaring clinking whoever;till;9190;angle;2025-11-10;2025-11-11
6;wholly oof;programme;4780;seldom;2025-11-11;2025-11-11
7;altruistic because;duh of sans;10434;pitiful hastily drive;2025-11-11;2025-11-11
8;sans;hm when;15806;aw;2025-11-11;2025-11-11
9;official tangible putrid;symbolise sway uh-huh;16947;knowledgeably;2025-11-11;2025-11-10
10;ah cheerfully provided;flawless concerning pish;7022;empty well concentration;2025-11-11;2025-11-10
