id;username;password;first_name;last_name;email;nombre_alumno;descripcion_proyecto;jwt_token;fecha_registro
1;than guacamole boring;overconfidently;María Teresa;Curiel Quintana;Jesus76@yahoo.com;carefully account;fold bin thoughtfully;mostly substitution;2025-11-11
2;indeed inasmuch;amongst muted;Concepción;Pelayo Hernández;Cesar4@gmail.com;and reproachfully pants;cellar;after illustrious wriggler;2025-11-10
3;inculcate wallaby;perfection;Carles;Polanco Negrón;Alfonso8@hotmail.com;from;gust hypothesise;follower hm um;2025-11-11
4;devastation;until if;Jacobo;Urrutia Galarza;Sancho.VelezUrena@gmail.com;ah humiliating finally;brisk motionless;obediently deploy;2025-11-11
5;slimy likely yet;convince wash mushy;Sofía;Garrido Villalobos;Amalia34@hotmail.com;down;ha upliftingly over;tabulate;2025-11-11
6;procurement geez;mispronounce now zowie;Yolanda;Santana Montero;JoseMaria_BalderasCervantes@gmail.com;beneficial impanel grok;whoa hopeful;under;2025-11-11
7;likewise;yowza;Conchita;Villalobos Villalobos;MariaTeresa_ValenzuelaJaimes67@gmail.com;produce officially good;how monster unfortunately;around on;2025-11-10
8;inside and;futon on baggy;Ariadna;Holguín Cornejo;Ernesto.RoblesLucio22@yahoo.com;shyly describe around;not at truly;inasmuch;2025-11-11
9;whereas uh-huh chilly;extract;David;Santana Ocampo;Lucia.GodoyFarias@hotmail.com;up yowza eventually;self-reliant plump plait;when;2025-11-11
10;opposite;yum failing;María del Carmen;Pulido Benavídez;Sergi.VazquezLebron@yahoo.com;rigidly;indeed which gripping;that pry after;2025-11-11
